Name,Director,Cast,Genre,IMDb
La La Land,Damien Chazelle,Ryan Gosling,Drama,8
Interstellar,Christopher Nolan,Matthew McConaughey,Science Fiction,9
Twilight,Catherine Hardwicke,Kristen Stewart,Horror,5
Inception,Christopher Nolan,Leonardo DiCaprio,Action,9
Parasite,Bong Joon ho,Song Kang ho,Drama,9
The Godfather,Francis Ford Coppola,Marlon Brando,Drama,9
The Big Lebowski,Joel Coen,Jeff Bridges,Comedy,8
Superbad,Greg Mottola,Jonah Hill,Comedy,7
Groundhog Day,Harold Ramiss,Bill Murray,Comedy,8
Liar Liar,Tom Shadyac,Jim Carrey,Comedy,7
The Mask,Chuck Russell,Jim Carrey,Comedy,7
Endgame,Joe Russo,Scarlett Johansson,Action,8
Lucy,Luc Besson,Scarlett Johansson,Action,6
The Conjuring,James Wan,Vera Farmiga,Horror,7
